ableist_words,suggestion_words
able-bodied,"non-disabled,person without disability,people without disabilities"
abnormal,"atypical,disabled person,person with disability."
abuser,"impaired control over drug use,person with substance use disorder,person experiencing alcohol problem,person experiencing drug problem"
ADD,"unfocused, short attention span, lacking focus, or uncontrolled."
addict,"impaired control over drug use,person with substance use disorder,person experiencing alcohol problem,person experiencing drug problem"
afflicted,dystrophy
attention-seeking,"obsessional,over-emotional,impulsive"
autism,aspie
autistic,mental health condition
barren,"desolate, unfruitful"
batty,"unbalanced, differently ordered"
bipolar,bipolar disorder
bend,"lower oneself, drop, move to, turn"
birth defect,congenital disability
blind,"limited vision,low vision,partially sighted,visually impaired"
blind leading the blind,unknowledgable
bonkers,"wild,confusing,unpredictable, mpulsive,reckless,fearless,lives on the edge,thrill-seeker, isk-taker,out of control,irrational,ridiculous"
Borderline,"unpleasant, toxic, abusive, manipulative, mixed-signals"
brain damaged,person with a brain injury
burn victim,burn survivor
can't talk,"person who uses a communication device, uses an alternative method of communication"
carry,"move, install, operate, manage, put, place, transfer, transport"
catch,"capture, seize,apprehend"
challenged,"differently abled, exceptional, impaired"
climb,"ascend, raise, work atop"
committed suicide,died by suicide
communicate,"converse, discuss, exchange information, express, signal"
crawl,"position self, move"
crazy,"wild,confusing,unpredictable, reckless,fearless,thrill-seeker, risk-taker,out of control,irrational,ridiculous,impractical,senseless,bizarre, "
cretin,"frustrating, ignorant, dense, unpleasant, cheesy, or awful."
cripple,"unable to walk properly, sore, bruised"
crowd,"lower oneself, drop, move to, turn"
crouch,"lower oneself, drop, move to, turn"
"cuckoo
","confusing, unpredictable, impulsive, reckless"
daft,"ignorant,unwilling to learn,unwilling to understand,misunderstanding,uneducated,dense,thick"
dim,gullible
dumb,"simpleton, gullible"
mute,unable to talk
deaf,unable to hear
defect,"imperfection, flaw"
deformed,"shortened limb,amputated limb,curved spine"
delusional,"false impression, misbelief, misconception"
demented,"unhinged, unbalanced"
deranged ,"odd,strange,eccentric,outlandish,wild,silly,ignorant,ridiculous"
derp,"not sensible, absurd"
Diffability,person with a disability
differently abled,disabled
disabled restroom,accessible restroom
discuss,"exchange information, express, signal"
disorder,"condition, irregularity"
dotard,"infirm, faltering, trembling"
drive,"operate,manage,direct"
dumb,"unable to communicate verbally,ignorant,dense"
dwarf,"person of short stature,little person"
emotionally ill,"mental health condition,psychiatric
disability"
epileptic,person with epilepsy
epileptic seizure,sudden alteration of behavior due to a temporary change in the electrical functioning of the brain
exceptional,"aberrant, abnormal"
falling on deaf ears,you didn't hear me
fat,"excess, overabundance, surpluss"
feeble-minded,"idiotic, foolish, halfwitted"
feel,"activate, inspect, diagnose"
flid,simpleminded
freak,"atypical, peculiar"
gimp ,"stumble, flounder"
gimpy,"unable to walk properly, sore, bruised"
had a stroke,shocked
hand,"move, install, operate, manage, put, place, transfer, transport"
handicapable,"differently abled, exceptional, impaired"
handicapped parking,accessible parking
harelip,cleft lip
healthy,people without disabilities
hear,"communicate, converse, discuss, exchange information, express, signal"
hearing-impaired,"unable to hear, deafened, earless"
heart attack,shocked
hermaphrodite,"gender non-conforming, gender variant"
homebound,confined to home as a result of extenuating circumstances
hyper,"excitable, fiddle-footed"
hyper-sensitive,"tender, excitable"
hysterical,"uncontrolled, unrestrained"
idiot,"ignorant,lacking common sense,annoying,confused,ridiculous,outlandish,unaware"
idiotic,"ignorant,lacking common sense,annoying,confused,ridiculous,outlandish,unaware"
imbecile,simpleton
incapacitated,"impaired, infirm"
